episode,scores,steps
0,-10,500
1,-10,698
2,100,703
3,-10,1203
4,100,1246
5,100,1264
6,-10,1764
7,-10,1984
8,-10,2400
9,-10,2900
10,-10,3400
11,-10,3900
12,-10,4400
13,100,4409
14,100,4415
15,-10,4915
16,100,4936
17,100,4952
18,-10,5452
19,-10,5952
20,100,5957
21,-10,6457
22,-10,6957
23,-10,7457
24,-10,7957
25,-10,8457
26,-10,8957
27,100,8975
28,-10,9263
29,-10,9763
30,-10,10263
31,100,10267
32,-10,10767
33,-10,11267
34,-10,11767
35,-10,12267
36,-10,12767
37,100,12777
38,100,12798
39,-10,13298
40,-10,13512
41,-10,14012
42,-10,14512
43,-10,14805
44,-10,15305
45,-10,15805
46,-10,16305
47,-10,16805
48,100,16814
49,-10,17314
50,-10,17814
51,-10,18314
52,-10,18814
53,-10,19314
54,-10,19814
55,-10,20314
56,-10,20814
57,-10,21314
58,-10,21814
59,-10,22314
60,-10,22805
61,-10,23305
62,100,23315
63,-10,23815
64,100,23833
65,-10,24333
66,-10,24833
67,100,24850
68,-10,25350
69,-10,25850
70,-10,26350
71,-10,26850
72,-10,27350
73,-10,27850
74,-10,28350
75,-10,28671
76,-10,29171
77,100,29194
78,-10,29694
79,-10,30194
80,-10,30694
81,-10,31194
82,-10,31694
83,-10,32194
84,-10,32631
85,-10,33131
86,-10,33631
87,-10,34131
88,100,34148
89,-10,34292
90,-10,34792
91,-10,35292
92,-10,35792
93,-10,36292
94,-10,36764
95,-10,37264
96,100,37283
97,-10,37774
98,-10,38274
99,-10,38745
100,100,38763
101,100,38772
102,-10,39137
103,-10,39377
104,-10,39798
105,-10,39961
106,100,39982
107,-10,40198
108,-10,40670
109,100,40719
110,-10,40933
111,-10,41433
112,-10,41933
113,-10,42433
114,-10,42573
115,100,42583
116,-10,43083
117,-10,43583
118,100,43600
119,-10,44100
120,-10,44600
121,-10,45100
122,-10,45440
123,-10,45940
124,-10,46182
125,-10,46547
126,-10,47047
127,100,47065
128,-10,47565
129,-10,48065
130,-10,48565
131,100,48718
132,-10,49218
133,-10,49718
134,100,49728
135,-10,50228
136,-10,50728
137,-10,51228
138,-10,51728
139,-10,52228
140,-10,52728
141,-10,53228
142,-10,53728
143,-10,54228
144,-10,54728
145,-10,55228
146,-10,55728
147,-10,56228
148,100,56232
149,-10,56732
150,-10,56923
151,-10,57336
152,-10,57836
153,-10,58336
154,-10,58836
155,-10,59336
156,-10,59836
157,-10,60336
158,-10,60836
159,-10,61336
160,-10,61836
161,100,61840
162,100,62063
163,-10,62530
164,-10,62620
165,-10,62734
166,-10,63225
167,-10,63725
168,-10,64225
169,-10,64725
170,-10,65225
171,-10,65725
172,-10,66225
173,100,66236
174,-10,66736
175,-10,67236
176,-10,67736
177,-10,68236
178,100,68240
179,-10,68708
180,-10,69208
181,-10,69672
182,100,69677
183,-10,70177
184,-10,70677
185,-10,71050
186,100,71067
187,-10,71431
188,100,71447
189,-10,71947
190,-10,72161
191,100,72640
192,-10,72754
193,-10,73158
194,-10,73658
195,-10,74158
196,-10,74658
197,-10,74849
198,-10,75349
199,-10,75849
200,-10,76347
201,-10,76847
202,-10,77037
203,-10,77537
204,-10,77878
205,100,78177
206,-10,78677
207,-10,78791
208,-10,79291
209,-10,79791
210,-10,80291
211,-10,80791
212,-10,81208
213,-10,81708
214,-10,82208
215,-10,82708
216,-10,82999
217,-10,83139
218,100,83156
219,100,83174
220,-10,83415
221,-10,83915
222,100,83920
223,-10,84420
224,-10,84920
225,100,84939
226,-10,85407
227,100,85425
228,100,85429
229,-10,85929
230,-10,86429
231,-10,86929
232,100,86947
233,-10,87447
234,100,87456
235,-10,87956
236,-10,88171
237,-10,88311
238,-10,88811
239,-10,89311
240,-10,89811
241,-10,90311
242,100,90357
243,-10,90857
244,-10,91357
245,-10,91857
246,-10,92357
247,-10,92857
248,100,92874
249,-10,93374
250,-10,93874
251,-10,94374
252,-10,94837
253,-10,95104
254,-10,95604
255,-10,95947
256,-10,96447
257,-10,96947
258,-10,97447
259,-10,97947
260,-10,98441
261,-10,98941
262,-10,99441
263,-10,99941
264,-10,100441
265,-10,100941
266,-10,101441
267,-10,101941
268,-10,102441
269,100,102458
270,-10,102958
271,-10,103458
272,-10,103958
273,-10,104458
274,-10,104958
275,-10,105458
276,-10,105958
277,-10,106449
278,-10,106949
279,100,106965
280,-10,107465
281,-10,107937
282,-10,108278
283,-10,108619
284,-10,109119
285,-10,109619
286,-10,110119
287,100,110123
288,-10,110623
289,100,110639
290,-10,111139
291,-10,111639
292,-10,112139
293,-10,112639
294,100,112661
295,-10,113161
296,-10,113661
297,-10,113750
298,-10,114250
299,100,114254
300,-10,114754
301,-10,115069
302,-10,115460
303,-10,115960
304,-10,116460
305,-10,116960
306,-10,117460
307,-10,117927
308,-10,118427
309,100,118438
310,-10,118938
311,-10,119438
312,100,119460
313,100,119648
314,-10,120148
315,-10,120648
316,-10,121120
317,-10,121620
318,-10,122120
319,-10,122620
320,-10,123120
321,-10,123563
322,-10,124063
323,-10,124563
324,-10,124753
325,-10,125253
326,-10,125753
327,-10,126253
328,-10,126753
329,-10,127253
330,-10,127495
331,-10,127995
332,-10,128495
333,100,128513
334,-10,128653
335,-10,129124
336,-10,129624
337,100,129641
338,-10,130141
339,-10,130641
340,100,130650
341,-10,131150
342,-10,131650
343,-10,132150
344,-10,132650
345,-10,133150
346,-10,133650
347,-10,134150
348,-10,134650
349,-10,135150
350,100,135172
351,-10,135464
352,-10,135964
353,100,135981
354,-10,136481
355,-10,136981
356,-10,137481
357,-10,137981
358,-10,138481
359,-10,138974
360,-10,139474
361,-10,139974
362,-10,140474
363,100,140478
364,-10,140978
365,-10,141423
366,-10,141923
367,-10,142423
368,-10,142923
369,-10,143423
370,100,143444
371,-10,143810
372,-10,144310
373,-10,144810
374,-10,145127
375,-10,145627
376,100,145644
377,-10,146144
378,-10,146644
379,-10,146936
380,-10,147436
381,-10,147827
382,-10,148327
383,-10,148827
384,-10,149327
385,-10,149827
386,100,149831
387,-10,150331
388,-10,150831
389,-10,151331
390,-10,151831
391,-10,152331
392,-10,152831
393,-10,153331
394,-10,153831
395,-10,154331
396,-10,154831
397,100,154842
398,-10,155342
399,-10,155842
400,-10,156342
401,100,156364
402,-10,156864
403,100,156885
404,-10,157385
405,-10,157650
406,-10,158150
407,-10,158392
408,-10,158892
409,-10,159392
410,-10,159892
411,-10,160392
412,-10,160782
413,-10,161282
414,-10,161782
415,100,161791
416,100,161795
417,-10,162186
418,-10,162528
419,-10,163028
420,-10,163528
421,-10,164028
422,-10,164528
423,-10,165028
424,-10,165528
425,-10,165847
426,100,165851
427,-10,166351
428,-10,166851
429,-10,167351
430,100,167362
431,-10,167862
432,100,167871
433,-10,168371
434,-10,168871
435,-10,169371
436,100,169382
437,-10,169622
438,-10,170122
439,100,170131
440,-10,170548
441,-10,171048
442,100,171057
443,-10,171400
444,100,171422
445,-10,171793
446,100,171837
447,-10,172078
448,-10,172293
449,-10,172486
450,-10,172803
451,-10,173303
452,-10,173670
453,100,173681
454,100,173698
455,-10,174198
456,-10,174698
457,-10,175198
458,100,175203
459,-10,175703
460,-10,175925
461,-10,176425
462,-10,176925
463,100,176941
464,-10,177441
465,-10,177941
466,-10,178441
467,-10,178941
468,-10,179441
469,100,179450
470,-10,179950
471,100,179968
472,-10,180468
473,-10,180942
474,-10,181442
475,-10,181942
476,100,181960
477,100,181978
478,100,181983
479,-10,182483
480,-10,182649
481,-10,183149
482,-10,183649
483,-10,184149
484,-10,184463
485,-10,184963
486,-10,185463
487,-10,185963
488,-10,186463
489,-10,186963
490,-10,187463
491,-10,187963
492,-10,188463
493,100,188468
494,-10,188968
495,-10,189468
496,-10,189968
497,-10,190468
498,-10,190968
499,100,190977
500,-10,191477
501,-10,191566
502,-10,191906
503,-10,192406
504,-10,192906
505,-10,193406
506,-10,193906
507,-10,194299
508,-10,194799
509,-10,195190
510,-10,195690
511,-10,196190
512,-10,196690
513,100,196699
514,-10,197199
515,100,197203
516,-10,197703
517,-10,198022
518,-10,198522
519,-10,198811
520,-10,199311
521,-10,199811
522,-10,200253
523,-10,200753
524,-10,201151
525,-10,201566
526,-10,202066
527,-10,202257
528,-10,202757
529,-10,203257
530,-10,203757
531,-10,204250
532,-10,204750
533,-10,205250
534,-10,205750
535,-10,206250
536,-10,206750
537,-10,207250
538,-10,207750
539,-10,208250
540,-10,208620
541,-10,209120
542,-10,209620
543,-10,210120
544,-10,210620
545,-10,211120
546,-10,211620
547,-10,212120
548,-10,212620
549,-10,213120
550,-10,213620
551,-10,214120
552,100,214124
553,-10,214624
554,-10,215124
555,100,215146
556,-10,215646
557,-10,216146
558,-10,216646
