episode,scores,steps
0,100,241
1,100,271
2,100,354
3,100,479
4,100,569
5,100,690
6,100,875
7,100,1014
8,100,1201
9,100,1287
10,-10,1373
11,100,1407
12,100,1451
13,100,1651
14,100,1722
15,100,1819
16,100,1923
17,100,1975
18,100,1999
19,100,2158
20,100,2234
21,100,2367
22,-10,2446
23,100,2535
24,-10,2747
25,100,2819
26,-10,2867
27,100,2890
28,100,2989
29,100,3185
30,100,3323
31,100,3393
32,100,3496
33,100,3566
34,100,3730
35,100,3897
36,-10,4015
37,100,4220
38,100,4409
39,100,4615
40,100,4758
41,100,4814
42,-10,4851
43,100,4904
44,100,5089
45,100,5170
46,100,5315
47,100,5528
48,100,5706
49,100,5818
50,100,5900
51,100,6091
52,100,6245
53,100,6338
54,100,6502
55,100,6553
56,100,6616
57,100,6712
58,100,6914
59,100,7016
60,100,7192
61,100,7391
62,100,7458
63,-10,7541
64,100,7718
65,100,7823
66,100,8001
67,-10,8193
68,100,8291
69,100,8400
70,100,8572
71,100,8611
72,100,8697
73,100,8781
74,100,8887
75,100,8992
76,100,9158
77,-10,9241
78,100,9322
79,100,9466
80,100,9561
81,100,9689
82,100,9878
83,100,9955
84,100,9989
85,-10,10043
86,100,10246
87,100,10355
88,100,10527
89,100,10611
90,100,10756
91,100,10878
92,100,10963
93,100,11066
94,100,11274
95,100,11455
96,100,11568
97,100,11683
98,100,11793
99,100,11889
100,100,12037
101,100,12121
102,100,12173
103,100,12269
104,100,12466
105,100,12552
106,100,12775
107,100,12975
108,100,13074
109,100,13196
110,100,13294
111,100,13427
112,100,13611
113,100,13788
114,100,13936
115,100,14032
116,100,14130
117,100,14323
118,100,14416
119,100,14588
120,100,14786
121,100,14991
122,100,15074
123,100,15234
124,100,15338
125,100,15432
126,100,15544
127,100,15562
128,100,15725
129,100,15814
130,100,15922
131,100,16066
132,100,16226
133,100,16385
134,100,16586
135,100,16683
136,100,16889
137,100,16890
138,100,16950
139,100,17049
140,100,17137
141,100,17242
142,100,17400
143,100,17511
144,100,17600
145,100,17637
146,100,17716
147,100,17808
148,-10,17998
149,100,18114
150,-10,18243
151,100,18341
152,100,18342
153,100,18409
154,100,18559
155,100,18693
156,100,18746
157,100,18906
158,100,19083
159,100,19205
160,100,19285
161,100,19479
162,100,19562
163,100,19714
164,100,19891
165,100,20096
166,100,20241
167,100,20421
168,100,20512
169,100,20633
170,100,20763
171,100,20924
172,100,21040
173,100,21136
174,100,21190
175,100,21311
176,100,21348
177,100,21544
178,100,21629
179,100,21752
180,100,21823
181,100,21934
182,100,22135
183,-10,22322
184,100,22497
185,100,22626
186,100,22855
187,100,23006
188,100,23112
189,100,23202
190,100,23381
191,100,23535
192,100,23566
193,100,23646
194,100,23775
195,100,23848
196,100,23947
197,100,24043
198,100,24071
199,100,24250
200,100,24420
201,100,24490
202,100,24706
203,100,24738
204,100,24858
205,100,25036
206,100,25155
207,100,25245
208,100,25318
209,100,25463
210,100,25545
211,-10,25671
212,100,25789
213,100,25968
214,100,26120
215,100,26284
216,100,26396
217,100,26571
218,100,26786
219,100,26859
220,100,27036
221,-10,27232
222,100,27419
223,-10,27603
224,100,27849
225,100,28055
226,100,28227
227,100,28416
228,100,28604
229,100,28802
230,100,29014
231,100,29170
232,100,29338
233,100,29441
234,100,29532
235,100,29605
236,100,29690
237,-10,29981
238,100,30111
239,100,30320
240,100,30409
241,100,30472
242,100,30654
243,100,30759
244,100,30947
245,100,31159
246,100,31270
247,100,31452
248,100,31650
249,100,31780
250,100,31803
251,100,32008
252,100,32102
253,100,32194
254,100,32406
255,100,32567
256,100,32718
257,100,32789
258,100,32996
259,100,33197
260,100,33300
261,100,33506
262,100,33507
263,100,33697
264,100,33755
265,100,33959
266,100,34074
267,100,34269
268,100,34408
269,100,34561
270,100,34671
271,100,34742
272,100,34902
273,100,34964
274,100,35138
275,100,35239
276,100,35369
277,100,35568
278,100,35691
279,100,35866
280,100,36060
281,100,36149
282,100,36329
283,100,36441
284,100,36538
285,100,36651
286,100,36829
287,100,36934
288,100,37145
289,100,37219
290,100,37387
291,100,37487
292,100,37663
293,100,37755
294,100,37977
295,100,38116
296,100,38287
297,100,38387
298,100,38499
299,100,38577
300,100,38646
301,100,38815
302,-10,38906
303,100,39001
304,100,39112
305,100,39229
306,100,39417
307,100,39529
308,100,39591
309,100,39708
310,100,39792
311,100,39904
312,100,40193
313,100,40321
314,100,40438
315,100,40615
316,100,40795
317,100,40966
318,100,40982
319,100,41174
320,100,41305
321,100,41486
322,100,41657
323,100,41754
324,100,41830
325,100,41933
326,100,42041
327,100,42159
328,100,42318
329,100,42536
330,100,42650
331,100,42907
332,100,43018
333,100,43115
334,100,43291
335,100,43424
336,100,43526
337,100,43587
338,100,43686
339,100,43704
340,100,43821
341,100,43940
342,100,44116
343,100,44228
344,100,44298
345,100,44453
346,100,44632
347,100,44741
348,100,44840
349,100,45003
350,-10,45167
351,100,45216
352,100,45299
353,100,45514
354,100,45568
355,100,45680
356,100,45785
357,100,45923
358,-10,45999
359,100,46181
360,100,46380
361,100,46581
362,100,46672
363,100,46727
364,100,46728
365,100,46919
366,100,47044
367,100,47154
368,100,47260
369,-10,47379
370,100,47498
371,100,47712
372,100,47885
373,100,47904
374,100,48057
375,100,48238
376,100,48343
377,100,48481
378,100,48522
379,100,48788
380,100,48878
381,-10,48934
382,100,49048
383,-10,49136
384,100,49265
385,100,49339
386,100,49464
387,100,49725
388,100,49812
389,100,50015
390,100,50101
391,100,50197
392,100,50371
393,-10,50616
394,100,50771
395,100,51064
396,100,51172
397,100,51263
398,100,51358
399,100,51462
400,100,51674
401,100,51703
402,100,51795
403,100,51988
404,100,52268
405,100,52365
406,-10,52518
407,100,52624
408,100,52774
409,100,52970
410,100,53006
411,100,53192
412,100,53283
413,100,53354
414,-10,53438
415,100,53670
416,-10,53735
417,100,53809
418,100,53887
419,100,53916
420,100,54014
421,100,54290
422,100,54489
423,100,54559
424,100,54727
425,-10,54787
426,100,54997
427,100,55102
428,100,55402
429,100,55490
430,100,55685
431,100,55730
432,100,55868
433,100,55983
434,100,56086
435,100,56194
436,-10,56258
437,100,56297
438,100,56446
439,100,56534
440,100,56777
441,100,56987
442,100,57167
443,-10,57416
444,100,57455
445,100,57565
446,100,57719
447,100,57973
448,100,58142
449,100,58212
450,100,58326
451,100,58372
452,100,58626
453,100,58627
454,100,58745
455,100,58834
456,100,58914
457,100,59169
458,100,59401
459,100,59571
460,100,59778
461,100,59969
462,100,60115
463,-10,60263
464,100,60382
465,100,60564
466,100,60858
467,100,61057
468,-10,61193
469,-10,61266
470,100,61387
471,100,61522
472,100,61616
473,100,61823
474,100,62105
475,100,62191
476,-10,62425
477,100,62576
478,100,62766
479,100,63045
480,100,63153
481,100,63154
482,100,63338
483,-10,63483
484,100,63561
485,-10,63659
486,100,63763
487,-10,63829
488,100,64038
489,100,64207
490,100,64439
491,100,64662
492,100,64732
493,100,64841
494,100,65020
495,100,65108
496,100,65295
497,100,65474
498,100,65620
499,100,65756
500,100,65933
501,100,66023
502,-10,66159
503,100,66240
504,100,66327
505,100,66443
506,100,66473
507,100,66526
508,100,66640
509,100,66809
510,100,66876
511,100,67111
512,100,67331
513,100,67625
514,100,67805
515,100,67893
516,100,68111
517,100,68240
518,100,68551
519,100,68668
520,100,68789
521,100,68814
522,100,68971
523,100,69182
524,100,69279
525,100,69376
526,100,69501
527,100,69677
528,100,69864
529,100,70010
530,100,70107
531,100,70237
532,100,70436
533,100,70557
534,100,70739
535,100,70849
536,100,71006
537,100,71093
538,100,71302
539,100,71528
540,100,71666
541,100,71766
542,100,72009
543,100,72123
544,100,72361
545,100,72463
546,-10,72546
547,100,72769
548,100,72882
549,100,72983
550,-10,73133
551,100,73256
552,100,73481
553,100,73573
554,100,73717
555,100,73957
556,100,74173
557,-10,74322
558,100,74417
559,-10,74555
560,100,74759
561,100,74952
562,100,75081
563,100,75261
564,100,75389
565,100,75505
566,100,75605
567,100,75802
568,100,75897
569,100,75972
570,-10,76170
571,100,76468
572,100,76745
573,100,76947
574,100,77072
575,100,77250
576,100,77547
577,100,77738
578,100,77797
579,100,78011
580,100,78203
581,100,78287
582,100,78319
583,100,78488
584,100,78762
585,100,78932
586,100,78961
587,-10,79155
588,100,79347
589,100,79632
590,100,79839
591,100,79929
592,100,80059
593,100,80115
594,100,80205
595,100,80347
596,100,80444
597,100,80627
598,100,80872
599,100,81018
600,-10,81081
601,100,81353
602,100,81580
603,100,81873
604,100,81984
605,100,82153
606,100,82290
607,-10,82372
608,100,82395
609,-10,82641
610,100,82721
611,100,82846
612,100,82871
613,100,83057
614,100,83305
615,100,83430
616,100,83614
617,100,83698
618,100,83894
619,100,84005
620,100,84267
621,100,84470
622,100,84540
623,100,84739
624,100,84945
625,100,85174
626,100,85449
627,100,85588
628,100,85781
629,100,85879
630,100,86056
631,100,86241
632,100,86309
633,100,86446
634,100,86640
635,100,86851
636,100,86935
637,100,87100
638,100,87270
639,-10,87341
640,100,87446
641,100,87513
642,100,87538
643,100,87639
644,100,87726
645,100,87865
646,100,88047
647,100,88187
648,100,88320
649,100,88392
650,100,88544
651,100,88666
652,100,88922
653,100,89012
654,100,89112
655,100,89221
656,100,89354
657,100,89456
658,100,89637
659,100,89794
660,100,89896
661,100,89928
662,100,90126
663,100,90304
664,100,90589
665,100,90896
666,100,90973
667,100,91156
668,100,91238
669,100,91354
670,100,91540
671,100,91724
672,100,91862
673,100,92011
674,100,92144
675,100,92208
676,100,92435
677,100,92524
678,-10,92753
679,100,93006
680,100,93190
681,100,93284
682,100,93491
683,100,93523
684,100,93782
685,100,93912
686,100,94074
687,100,94267
688,100,94518
689,100,94705
690,100,94805
691,-10,95052
692,100,95147
693,100,95271
694,100,95442
695,100,95687
696,100,95781
697,100,95953
698,100,96131
699,100,96379
700,100,96467
701,-10,96622
702,-10,96773
703,100,96882
704,100,97045
705,100,97182
706,100,97406
707,100,97525
708,100,97708
709,100,97855
710,100,97981
711,100,98251
712,100,98489
713,100,98545
714,100,98665
715,100,98878
716,100,98964
717,100,99122
718,100,99200
719,100,99481
720,-10,99981
721,100,100211
722,100,100363
723,100,100452
724,100,100608
725,100,100750
726,100,100770
727,100,100894
728,100,100961
729,100,101190
730,100,101277
731,100,101553
732,100,101685
733,100,101815
734,100,101900
735,100,102085
736,100,102228
737,100,102466
738,100,102551
739,100,102742
740,100,102899
741,100,102991
742,100,103287
743,100,103402
744,-10,103548
745,100,103663
746,100,103920
747,100,104096
748,100,104220
749,100,104323
750,100,104535
751,100,104737
752,100,104845
753,100,105045
754,100,105347
755,100,105553
756,100,105716
757,100,105918
758,100,106016
759,100,106119
760,100,106277
761,100,106370
762,100,106565
763,100,106714
764,100,106794
765,100,106876
766,100,106968
767,100,107034
768,100,107202
769,100,107364
770,100,107440
771,100,107553
772,100,107646
773,100,107822
774,100,107994
775,100,108098
776,-10,108532
777,100,108614
778,100,108884
779,100,108983
780,100,109169
781,100,109201
782,100,109289
783,100,109426
784,100,109575
785,100,109630
786,100,109813
787,100,109943
788,100,110104
789,100,110229
790,100,110362
791,100,110527
792,100,110559
