episode,scores,steps
0,-10,500
1,-10,798
2,100,869
3,-10,941
4,-10,996
5,-10,1058
6,-10,1111
7,100,1116
8,-10,1174
9,-10,1230
10,100,1258
11,-10,1315
12,-10,1381
13,-10,1440
14,100,1469
15,100,1500
16,100,1548
17,-10,1621
18,100,1646
19,100,1672
20,-10,1731
21,-10,1830
22,-10,1899
23,-10,1961
24,-10,2009
25,-10,2102
26,-10,2194
27,100,2209
28,-10,2312
29,-10,2421
30,-10,2549
31,100,2574
32,100,2644
33,-10,2768
34,-10,2852
35,-10,2964
36,100,3007
37,-10,3087
38,100,3129
39,-10,3222
40,-10,3308
41,-10,3409
42,-10,3472
43,-10,3649
44,-10,3732
45,-10,3805
46,100,3831
47,-10,3893
48,-10,3994
49,-10,4093
50,-10,4190
51,100,4202
52,-10,4278
53,-10,4354
54,-10,4449
55,100,4488
56,-10,4540
57,-10,4640
58,-10,4706
59,-10,4776
60,-10,4861
61,-10,4940
62,-10,4998
63,-10,5088
64,-10,5169
65,-10,5229
66,-10,5317
67,-10,5381
68,-10,5450
69,-10,5530
70,100,5531
71,-10,5597
72,-10,5642
73,-10,5701
74,-10,5761
75,-10,5816
76,100,5817
77,-10,5876
78,-10,5941
79,-10,6004
80,-10,6086
81,-10,6146
82,-10,6228
83,-10,6283
84,-10,6356
85,-10,6416
86,-10,6481
87,-10,6545
88,-10,6607
89,100,6608
90,-10,6673
91,-10,6779
92,-10,6848
93,100,6886
94,-10,6940
95,-10,7008
96,-10,7063
97,-10,7122
98,-10,7184
99,-10,7234
100,-10,7294
101,100,7342
102,-10,7405
103,-10,7462
104,-10,7510
105,-10,7567
106,100,7568
107,-10,7652
108,-10,7706
109,-10,7777
110,-10,7833
111,-10,7903
112,-10,7987
113,-10,8065
114,-10,8130
115,-10,8184
116,-10,8273
117,-10,8335
118,100,8374
119,100,8387
120,-10,8458
121,-10,8536
122,-10,8595
123,-10,8648
124,-10,8732
125,-10,8792
126,-10,8852
127,-10,8922
128,-10,8983
129,-10,9044
130,-10,9119
131,-10,9177
132,-10,9241
133,-10,9302
134,-10,9376
135,-10,9468
136,-10,9535
137,-10,9725
138,-10,9819
139,-10,9883
140,-10,9947
141,-10,10031
142,-10,10091
143,-10,10162
144,-10,10233
145,-10,10298
146,-10,10387
147,100,10405
148,-10,10477
149,-10,10541
150,-10,10618
151,100,10644
152,-10,10704
153,-10,10793
154,-10,10895
155,100,10937
156,-10,11006
157,-10,11099
158,-10,11167
159,-10,11234
160,-10,11316
161,-10,11402
162,-10,11459
163,-10,11519
164,-10,11594
165,100,11622
166,-10,11692
167,-10,11759
168,-10,11845
169,-10,11936
170,100,11973
171,-10,12082
172,-10,12152
173,-10,12208
174,-10,12290
175,100,12327
176,100,12374
177,-10,12439
178,-10,12496
179,-10,12593
180,-10,12675
181,100,12676
182,-10,12759
183,-10,12839
184,-10,12939
185,-10,13026
186,-10,13092
187,-10,13159
188,-10,13220
189,-10,13316
190,-10,13387
191,-10,13457
192,-10,13519
193,-10,13631
194,-10,13688
195,100,13733
196,-10,13791
197,-10,13851
198,-10,13918
199,100,13927
200,-10,14018
201,-10,14091
202,-10,14160
203,-10,14304
204,-10,14379
205,-10,14447
206,-10,14515
207,-10,14596
208,-10,14658
209,-10,14773
210,-10,14876
211,-10,14957
212,-10,15027
213,-10,15088
214,-10,15146
215,-10,15240
216,-10,15295
217,-10,15372
218,-10,15455
219,-10,15514
220,-10,15582
221,-10,15658
222,100,15695
223,100,15707
224,-10,15788
225,-10,15863
226,-10,15932
227,-10,16025
228,100,16041
229,-10,16144
230,-10,16229
231,-10,16359
232,-10,16442
233,-10,16666
234,-10,16729
235,100,16730
236,-10,16808
237,-10,16894
238,-10,16979
239,100,17044
240,-10,17115
241,-10,17201
242,-10,17266
243,-10,17356
244,100,17360
245,-10,17454
246,-10,17542
247,-10,17623
248,-10,17720
249,-10,17788
