episode,scores,steps
0,-10,500
1,-10,1000
2,-10,1500
3,-10,1891
4,-10,1954
5,100,1983
6,-10,2070
7,-10,2097
8,-10,2132
9,-10,2188
10,-10,2227
11,-10,2287
12,-10,2339
13,-10,2400
14,100,2438
15,-10,2470
16,-10,2522
17,100,2551
18,-10,2583
19,-10,2620
20,-10,2673
21,-10,2727
22,-10,2786
23,-10,2858
24,-10,2906
25,-10,2977
26,-10,3032
27,100,3033
28,-10,3102
29,-10,3161
30,100,3220
31,-10,3275
32,100,3316
33,-10,3360
34,-10,3392
35,-10,3464
36,-10,3522
37,-10,3588
38,100,3597
39,-10,3650
40,-10,3711
41,-10,3741
42,100,3786
43,100,3812
44,-10,3846
45,100,3878
46,-10,3962
47,-10,4018
48,-10,4048
49,-10,4078
50,-10,4115
51,-10,4147
52,100,4180
53,-10,4226
54,-10,4296
55,-10,4338
56,-10,4371
57,-10,4408
58,-10,4501
59,-10,4621
60,-10,4648
61,-10,4677
62,-10,4714
63,-10,4782
64,-10,4839
65,-10,4878
66,-10,4910
67,-10,4947
68,-10,4977
69,-10,5026
70,-10,5065
71,-10,5127
72,-10,5184
73,-10,5215
74,-10,5255
75,-10,5314
76,-10,5399
77,-10,5444
78,-10,5514
79,-10,5574
80,-10,5654
81,-10,5719
82,-10,5775
83,-10,5811
84,-10,5874
85,-10,5940
86,-10,6011
87,-10,6045
88,-10,6106
89,100,6107
90,-10,6167
91,-10,6227
92,-10,6270
93,-10,6333
94,-10,6395
95,-10,6481
96,-10,6544
97,-10,6606
98,-10,6671
99,-10,6783
100,-10,6853
101,-10,6915
102,-10,6970
103,-10,7037
104,-10,7096
105,-10,7161
106,100,7162
107,-10,7245
108,100,7246
109,-10,7315
110,100,7359
111,-10,7413
112,-10,7474
113,-10,7534
114,-10,7592
115,-10,7657
116,-10,7714
117,-10,7750
118,-10,7806
119,100,7807
120,-10,7895
121,-10,7936
122,-10,8004
123,-10,8065
124,-10,8138
125,-10,8207
126,-10,8271
127,-10,8306
128,-10,8369
129,-10,8408
130,-10,8438
131,-10,8499
132,-10,8556
133,-10,8618
134,-10,8677
135,-10,8762
136,-10,8823
137,-10,9010
138,-10,9114
139,-10,9167
140,-10,9200
141,100,9201
142,-10,9265
143,-10,9320
144,-10,9386
145,-10,9480
146,-10,9540
147,-10,9572
148,-10,9641
149,-10,9682
150,-10,9755
151,-10,9824
152,-10,9880
153,-10,9969
154,-10,10000
155,-10,10059
156,-10,10123
157,-10,10155
158,100,10156
159,-10,10222
160,-10,10278
161,-10,10344
162,-10,10401
163,-10,10464
164,-10,10532
165,100,10541
166,-10,10645
167,-10,10737
168,100,10795
169,-10,10871
170,-10,10968
171,-10,11032
172,-10,11093
173,-10,11155
174,-10,11210
175,-10,11269
176,-10,11331
177,-10,11385
178,-10,11447
179,100,11478
180,-10,11540
181,-10,11600
182,-10,11633
183,-10,11696
184,-10,11755
185,100,11797
186,-10,11829
187,-10,11891
188,-10,11952
189,-10,12011
190,-10,12074
191,-10,12137
192,-10,12206
193,-10,12271
194,-10,12327
195,100,12334
196,-10,12390
197,-10,12481
198,-10,12538
199,-10,12601
200,-10,12686
201,-10,12719
202,-10,12776
203,-10,12846
204,100,12894
205,-10,12959
206,-10,13020
207,-10,13057
208,-10,13112
209,-10,13203
210,-10,13261
211,-10,13337
212,-10,13405
213,-10,13468
214,-10,13527
215,-10,13566
216,-10,13630
217,-10,13700
218,-10,13735
219,-10,13795
220,-10,13853
221,-10,13909
222,-10,13964
223,-10,14028
224,-10,14084
225,100,14096
226,-10,14157
227,-10,14246
228,100,14247
229,-10,14301
230,-10,14368
231,-10,14434
232,-10,14494
233,-10,14554
234,-10,14608
235,100,14639
236,-10,14698
237,-10,14769
238,-10,14835
239,-10,14911
240,-10,14966
241,100,15018
242,-10,15078
243,-10,15138
244,100,15139
245,-10,15173
246,-10,15240
247,100,15241
248,-10,15293
249,-10,15356
250,-10,15428
251,-10,15488
252,100,15518
253,-10,15577
254,-10,15642
255,-10,15738
256,-10,15770
257,-10,15842
258,-10,15922
259,-10,15984
260,-10,16052
261,100,16059
262,-10,16121
263,-10,16190
264,-10,16251
265,-10,16315
266,-10,16385
267,100,16389
268,-10,16448
269,-10,16524
270,-10,16596
271,-10,16657
272,-10,16738
273,-10,16800
274,-10,16885
275,-10,16948
276,-10,17012
277,-10,17042
278,-10,17103
279,-10,17162
280,-10,17233
281,-10,17289
282,-10,17354
283,-10,17421
284,-10,17484
285,-10,17548
286,-10,17598
287,-10,17655
288,100,17656
289,-10,17719
290,-10,17804
291,-10,17876
292,-10,17926
293,-10,17984
294,-10,18052
295,-10,18124
296,-10,18202
297,-10,18262
298,-10,18323
299,-10,18383
300,-10,18446
301,-10,18506
302,100,18507
303,-10,18549
304,-10,18594
305,-10,18628
306,-10,18687
307,100,18724
308,-10,18784
309,-10,18853
310,-10,18945
311,-10,19004
312,-10,19061
313,-10,19150
314,100,19151
315,-10,19185
316,-10,19237
317,-10,19304
