1,10,78.00,0.80
2,10,67.00,0.70
2,20,45.00,0.50
2,30,23.00,0.30
2,40,34.00,0.40
2,50,12.00,0.20
2,60,34.00,0.40
2,70,56.00,0.60
2,80,56.00,0.60
2,90,34.00,0.40
2,100,12.00,0.20
2,110,23.00,0.30
2,120,1.00,0.10
2,130,12.00,0.20
2,140,-10.00,0.00
2,150,23.00,0.30
2,160,-10.00,0.00
2,170,23.00,0.30
2,180,23.00,0.30
2,190,34.00,0.40
2,200,1.00,0.10
2,210,12.00,0.20
2,220,1.00,0.10
2,230,1.00,0.10
2,240,-10.00,0.00
2,250,23.00,0.30
2,260,23.00,0.30
2,270,12.00,0.20
2,280,12.00,0.20
2,290,1.00,0.10
2,300,1.00,0.10
2,310,1.00,0.10
2,320,12.00,0.20
2,330,34.00,0.40
2,340,1.00,0.10
2,350,1.00,0.10
2,360,23.00,0.30
2,370,34.00,0.40
2,380,12.00,0.20
2,390,23.00,0.30
2,400,56.00,0.60
2,410,12.00,0.20
2,420,34.00,0.40
2,430,1.00,0.10
2,440,34.00,0.40
2,450,23.00,0.30
2,460,1.00,0.10
2,470,12.00,0.20
2,480,12.00,0.20
2,490,12.00,0.20
2,500,12.00,0.20
2,510,12.00,0.20
2,520,34.00,0.40
2,530,34.00,0.40
2,540,34.00,0.40
2,550,-10.00,0.00
2,560,-10.00,0.00
2,570,12.00,0.20
2,580,12.00,0.20
2,590,23.00,0.30
2,600,12.00,0.20
2,610,23.00,0.30
2,620,23.00,0.30
2,630,23.00,0.30
2,640,34.00,0.40
2,650,1.00,0.10
2,660,1.00,0.10
2,670,-10.00,0.00
2,680,-10.00,0.00
2,690,1.00,0.10
2,700,1.00,0.10
2,710,1.00,0.10
2,720,12.00,0.20
2,730,1.00,0.10
2,740,12.00,0.20
2,750,1.00,0.10
2,760,23.00,0.30
2,770,23.00,0.30
2,780,12.00,0.20
2,790,12.00,0.20
2,800,23.00,0.30
2,810,1.00,0.10
2,820,12.00,0.20
2,830,1.00,0.10
2,840,12.00,0.20
2,850,12.00,0.20
2,860,12.00,0.20
2,870,23.00,0.30
2,880,23.00,0.30
2,890,1.00,0.10
2,900,1.00,0.10
2,910,1.00,0.10
2,920,1.00,0.10
2,930,-10.00,0.00
2,940,1.00,0.10
2,950,1.00,0.10
2,960,-10.00,0.00
2,970,-10.00,0.00
2,980,-10.00,0.00
2,990,1.00,0.10
2,1000,12.00,0.20
2,1010,1.00,0.10
2,1020,1.00,0.10
2,1030,-10.00,0.00
2,1040,-10.00,0.00
2,1050,12.00,0.20
2,1060,-10.00,0.00
2,1070,1.00,0.10
2,1080,1.00,0.10
2,1090,-10.00,0.00
2,1100,-10.00,0.00
2,1110,1.00,0.10
2,1120,-10.00,0.00
2,1130,1.00,0.10
2,1140,1.00,0.10
2,1150,1.00,0.10
1,10,89.00,0.90
1,10,89.00,0.90
2,10,23.00,0.30
2,20,1.00,0.10
2,30,-10.00,0.00
2,40,12.00,0.20
2,50,34.00,0.40
2,60,12.00,0.20
2,70,1.00,0.10
2,80,12.00,0.20
2,90,12.00,0.20
2,100,12.00,0.20
2,110,1.00,0.10
2,120,12.00,0.20
2,130,23.00,0.30
2,140,12.00,0.20
2,150,12.00,0.20
2,160,1.00,0.10
2,170,23.00,0.30
2,180,1.00,0.10
2,190,23.00,0.30
2,200,1.00,0.10
