episode,scores,steps
434,100,37763
435,100,37806
436,100,37867
437,-10,37931
438,100,37999
439,100,38093
440,-10,38247
441,100,38336
442,100,38487
443,100,38510
444,100,38546
445,100,38588
446,-10,38652
447,100,38664
448,100,38739
449,100,38762
450,100,38871
451,-10,39049
452,-10,39090
453,-10,39240
454,100,39398
455,-10,39511
456,-10,39584
457,100,39629
458,-10,39811
459,100,39868
460,100,39928
461,-10,40006
462,100,40024
463,-10,40107
464,100,40108
465,100,40437
466,100,40514
467,-10,40557
468,-10,40668
469,-10,40703
470,100,40863
471,100,40887
472,100,40891
473,-10,40974
474,-10,41083
475,-10,41195
476,-10,41250
477,100,41296
478,100,41335
479,100,41500
480,100,41606
481,100,41668
482,100,41699
483,100,41858
484,100,42078
485,100,42167
486,100,42207
487,-10,42284
488,-10,42349
489,-10,42394
490,-10,42435
491,100,42586
492,100,42675
493,100,42764
494,-10,42811
495,100,42842
496,100,42891
497,100,43136
498,100,43167
499,-10,43207
500,-10,43364
501,100,43404
502,100,43521
503,-10,43584
504,-10,43750
505,100,43828
506,100,43894
507,100,43895
508,100,44100
509,-10,44134
510,100,44236
511,100,44287
512,-10,44327
513,100,44371
514,100,44451
515,100,44533
516,-10,44615
517,-10,44852
518,100,44947
519,100,44987
520,100,45030
521,100,45069
522,-10,45212
523,-10,45280
524,-10,45365
525,100,45407
526,-10,45587
527,100,45643
528,-10,45684
529,-10,45835
530,-10,45974
531,100,46020
532,-10,46122
533,100,46165
534,100,46195
535,100,46347
536,100,46528
537,-10,46564
538,100,46709
539,100,46722
540,100,46760
541,100,46900
542,-10,46937
543,-10,47023
544,100,47054
545,-10,47199
546,-10,47240
547,100,47281
548,100,47431
549,-10,47539
550,100,47604
551,100,47658
552,100,47696
553,100,47824
554,-10,47877
555,-10,47950
556,100,48047
557,100,48088
558,-10,48205
559,100,48260
560,100,48297
561,100,48330
562,100,48484
563,-10,48553
564,100,48586
565,100,48644
566,100,48692
567,-10,48773
568,100,48811
569,100,48864
570,100,48945
571,-10,48982
572,100,48983
573,-10,49079
574,100,49112
575,-10,49172
576,-10,49311
577,100,49362
578,-10,49404
579,100,49596
580,100,49644
581,100,49727
582,-10,49817
583,100,49908
584,100,49984
585,100,50047
586,100,50171
587,100,50220
588,100,50420
589,100,50584
590,-10,50953
591,100,51055
592,100,51106
593,-10,51185
594,-10,51479
595,100,51492
596,100,51643
597,100,51700
598,100,51853
599,100,52119
600,100,52287
601,100,52366
602,100,52511
603,-10,52537
604,100,52638
605,100,52678
606,100,52842
607,-10,53111
608,-10,53157
609,-10,53210
610,-10,53250
611,100,53367
612,100,53448
613,100,53513
614,100,53572
615,100,53697
616,100,53778
617,100,53963
618,100,53983
619,-10,54025
620,-10,54119
621,100,54120
622,-10,54158
623,-10,54344
624,100,54514
625,100,54560
626,100,54615
627,100,54650
628,-10,54692
629,100,54730
630,-10,54828
631,100,54829
632,100,54885
633,100,54920
634,-10,54965
635,100,55011
636,100,55129
637,-10,55165
638,100,55218
639,100,55314
640,100,55395
641,-10,55434
642,-10,55572
643,100,55663
644,100,55960
645,100,56088
646,-10,56133
647,100,56220
648,100,56282
649,100,56349
650,100,56408
651,-10,56505
652,100,56590
653,-10,56632
654,100,56794
655,100,56795
656,100,56950
657,100,57055
658,100,57202
659,100,57240
660,100,57323
661,-10,57486
662,-10,57523
663,100,57602
664,-10,57762
665,100,57909
666,100,58063
667,100,58225
668,100,58356
669,100,58391
670,100,58441
671,-10,58477
672,-10,58727
673,100,58761
674,100,58808
675,100,58882
676,-10,58920
677,100,59118
678,100,59269
679,100,59507
680,100,59637
681,100,59685
682,-10,59726
683,100,59802
684,100,59907
685,100,59954
686,-10,60016
687,100,60067
688,-10,60187
689,100,60256
690,100,60474
691,100,60723
692,-10,60762
693,100,60953
694,-10,61007
695,100,61107
696,-10,61216
697,-10,61255
698,100,61402
699,100,61448
700,100,61571
701,100,61572
702,-10,61665
703,-10,61704
704,-10,61882
705,100,62130
706,-10,62190
707,100,62292
708,100,62363
709,100,62606
710,100,62649
711,-10,62696
712,-10,62735
713,-10,62861
714,100,62862
715,100,62889
716,-10,63113
717,-10,63214
718,100,63345
719,100,63435
720,100,63635
721,-10,63678
722,-10,63772
723,-10,63880
724,100,63948
725,100,64024
726,-10,64288
727,-10,64331
728,100,64466
729,-10,64552
730,100,64594
731,100,64998
732,-10,65043
733,100,65112
734,100,65190
735,-10,65331
736,100,65376
737,100,65517
738,-10,65680
739,100,65761
740,-10,65808
741,100,65882
742,100,65995
743,-10,66101
744,-10,66177
745,100,66234
746,100,66355
747,-10,66415
748,100,66488
749,-10,66642
750,100,66671
751,-10,66709
752,-10,66773
753,100,66917
754,100,67017
755,100,67098
756,100,67464
757,100,67500
758,100,67752
759,100,67885
760,100,67947
761,-10,68088
762,100,68101
763,-10,68148
764,-10,68187
765,100,68236
766,100,68357
767,-10,68456
768,100,68503
769,-10,68603
770,100,68657
771,-10,68745
772,-10,68807
773,100,68868
774,-10,69173
775,-10,69227
776,100,69311
777,100,69525
778,100,69636
779,100,69672
780,100,69738
781,-10,69777
782,-10,69869
783,100,70080
784,-10,70173
785,-10,70217
786,-10,70299
787,100,70300
788,-10,70388
789,100,70444
790,100,70560
791,-10,70602
792,100,70661
793,100,70737
794,-10,70843
795,100,70876
796,-10,71101
797,100,71158
798,100,71204
799,100,71205
800,-10,71242
801,100,71293
802,-10,71363
803,100,71443
804,-10,71542
805,100,71616
806,-10,71773
807,100,71807
808,-10,71951
809,-10,71996
810,100,72015
811,100,72112
812,-10,72251
813,100,72252
814,100,72323
815,100,72396
816,100,72405
817,-10,72474
818,100,72518
819,-10,72560
820,100,72626
821,-10,72799
822,100,72820
823,100,72897
824,-10,72961
825,100,73001
826,-10,73092
827,-10,73159
828,100,73203
829,100,73342
830,100,73344
831,-10,73389
832,-10,73438
833,100,73478
834,100,73656
835,100,73715
836,100,73760
837,-10,73906
838,100,73948
