episode,scores,steps
440,100,18541
441,100,18596
442,100,18686
443,100,18692
444,100,18712
445,100,18722
446,100,18772
447,100,18843
448,100,18940
449,100,18969
450,100,18991
451,100,19069
452,100,19083
453,100,19162
454,100,19189
455,100,19225
456,-10,19286
457,100,19304
458,100,19322
459,100,19371
460,100,19403
461,100,19468
462,100,19519
463,100,19552
464,100,19616
465,100,19624
466,100,19660
467,100,19723
468,100,19755
469,100,19756
470,100,19814
471,100,19825
472,100,19830
473,100,19862
474,100,19930
475,100,19963
476,100,19971
477,100,20002
478,100,20035
479,100,20062
480,100,20095
481,100,20124
482,100,20138
483,100,20195
484,-10,20228
485,100,20257
486,100,20290
487,100,20363
488,100,20376
489,100,20384
490,100,20439
491,100,20453
492,100,20458
493,100,20459
494,100,20472
495,100,20501
496,100,20561
497,-10,20608
498,100,20638
499,100,20652
500,100,20670
501,100,20690
502,100,20691
503,100,20738
504,100,20777
505,100,20804
506,100,20821
507,100,20832
508,100,20918
509,100,20925
510,100,20961
511,100,20962
512,100,20991
513,100,21059
514,100,21078
515,-10,21126
516,-10,21172
517,100,21179
518,-10,21207
519,-10,21252
520,100,21262
521,100,21298
522,100,21319
523,100,21325
524,-10,21368
525,-10,21415
526,100,21434
527,100,21472
528,-10,21529
529,100,21597
530,100,21655
531,100,21698
532,100,21744
533,-10,21785
534,100,21800
535,100,21831
536,100,21889
537,100,21918
538,100,21930
539,100,21946
540,-10,22009
541,100,22021
542,100,22025
543,100,22046
544,100,22050
545,-10,22073
546,-10,22132
547,100,22139
548,-10,22177
549,100,22189
550,100,22238
551,100,22295
552,100,22312
553,100,22364
554,100,22384
555,100,22397
556,100,22465
557,-10,22486
558,100,22516
559,-10,22552
560,100,22600
561,100,22610
562,100,22670
563,100,22690
564,100,22738
565,100,22770
566,-10,22814
567,-10,22836
568,100,22842
569,100,22855
570,100,22871
571,100,22903
572,100,22923
573,100,22954
574,-10,23013
575,100,23041
576,100,23047
577,100,23080
578,-10,23133
579,100,23146
580,100,23162
581,100,23175
582,-10,23242
583,100,23261
584,100,23274
585,100,23308
586,100,23391
587,100,23462
588,100,23491
589,100,23528
590,100,23556
591,100,23569
592,100,23591
593,100,23611
594,100,23622
595,100,23628
596,100,23641
597,100,23716
598,100,23748
599,100,23776
600,100,23789
601,100,23810
602,100,23817
603,100,23849
604,100,23896
605,100,23897
606,100,23986
607,-10,24035
608,100,24041
609,100,24082
610,-10,24142
611,100,24177
612,100,24187
613,100,24215
614,100,24245
615,100,24304
616,-10,24356
617,-10,24378
618,100,24393
619,100,24425
620,100,24487
621,100,24540
622,-10,24577
623,100,24590
624,100,24625
625,100,24658
626,100,24717
627,-10,24758
628,-10,24807
629,100,24836
630,-10,24885
631,-10,24926
632,100,24939
633,100,24968
634,100,24986
635,100,24991
636,-10,25053
637,100,25062
638,100,25126
639,100,25157
640,-10,25210
641,100,25215
642,100,25230
643,100,25243
644,100,25257
645,100,25260
646,100,25275
647,-10,25313
648,100,25389
649,100,25465
650,100,25469
651,100,25506
652,-10,25566
653,100,25600
654,100,25605
655,100,25618
656,100,25647
657,100,25660
658,100,25687
659,100,25772
660,100,25799
661,100,25803
662,100,25874
663,100,25913
664,100,25989
665,100,25994
666,100,26021
667,100,26089
668,100,26147
669,100,26160
670,-10,26227
671,100,26231
672,100,26308
673,100,26312
674,100,26325
675,-10,26384
676,-10,26437
677,-10,26480
678,100,26508
679,-10,26553
680,-10,26608
681,100,26644
682,100,26653
683,100,26682
684,100,26709
685,100,26723
686,100,26781
687,100,26811
688,100,26869
689,-10,26914
690,100,26915
691,100,26953
692,-10,27001
693,-10,27051
694,-10,27093
695,100,27096
696,100,27109
697,-10,27165
698,-10,27212
699,100,27237
700,100,27271
701,100,27288
702,-10,27346
703,100,27349
704,-10,27372
705,100,27400
706,-10,27441
707,100,27447
708,100,27448
709,-10,27492
710,100,27529
711,-10,27548
712,100,27579
713,100,27586
714,100,27606
715,100,27609
716,100,27636
717,100,27655
718,100,27684
719,100,27698
720,100,27766
721,100,27775
722,100,27793
723,100,27813
724,-10,27866
725,100,27928
726,100,27941
727,100,27948
728,-10,27972
729,-10,28020
730,-10,28080
731,100,28081
732,-10,28128
733,100,28141
734,100,28147
735,100,28153
736,-10,28206
737,-10,28248
738,100,28308
739,100,28328
740,-10,28384
741,100,28385
742,100,28390
743,100,28398
744,100,28404
745,100,28417
746,100,28423
747,100,28456
748,100,28463
749,100,28532
750,100,28552
751,-10,28606
752,100,28637
753,100,28643
754,-10,28693
755,-10,28745
756,100,28761
757,-10,28804
758,100,28826
759,100,28839
760,100,28866
761,-10,28909
762,100,28978
763,100,29005
764,100,29088
765,100,29091
766,-10,29137
767,-10,29190
768,-10,29245
769,100,29280
770,100,29286
771,-10,29334
772,100,29392
773,100,29421
774,100,29438
775,-10,29476
776,100,29530
777,100,29561
778,100,29624
779,-10,29667
780,-10,29716
781,100,29729
782,100,29744
783,-10,29788
784,-10,29843
785,100,29870
786,100,29876
787,100,29895
788,100,29926
789,100,29927
790,100,29954
791,100,29961
792,100,29967
793,100,30026
794,100,30094
795,100,30095
796,100,30117
797,100,30145
798,100,30210
799,-10,30229
800,100,30234
801,100,30264
802,100,30284
803,100,30312
804,100,30348
805,100,30383
806,100,30492
807,-10,30514
808,100,30573
809,100,30620
810,100,30640
811,100,30707
812,100,30712
813,100,30755
814,100,30760
815,100,30773
816,-10,30840
817,100,30899
818,100,30978
819,-10,31012
820,100,31064
821,-10,31109
822,100,31188
823,100,31201
824,100,31213
825,100,31249
826,100,31311
827,100,31378
828,100,31385
829,100,31444
830,100,31449
831,100,31458
832,100,31470
833,100,31476
834,100,31546
835,100,31611
836,100,31672
837,100,31680
838,100,31734
839,100,31761
840,100,31768
841,100,31836
842,100,31850
843,100,31881
844,100,31949
845,100,32038
846,100,32051
847,100,32065
848,-10,32119
849,100,32145
850,100,32196
851,100,32216
852,-10,32300
853,100,32322
854,100,32352
855,100,32401
856,100,32457
857,100,32466
858,-10,32558
859,100,32607
860,100,32611
861,100,32614
862,100,32644
863,100,32800
864,100,32813
865,-10,32859
866,100,32891
867,100,32938
868,100,33000
869,100,33050
870,100,33106
871,100,33114
872,100,33174
