episode,scores,steps
0,-10,136
1,-10,207
2,-10,218
3,-10,239
4,-10,318
5,-10,353
6,-10,495
7,-10,536
8,-10,664
9,-10,722
10,100,725
11,-10,748
12,-10,779
13,-10,802
14,-10,866
15,-10,879
16,-10,1379
17,100,1380
18,-10,1880
19,100,1882
20,-10,2007
21,100,2032
22,-10,2137
23,-10,2160
24,100,2161
25,-10,2181
26,-10,2194
27,-10,2215
28,-10,2236
29,-10,2263
30,-10,2275
31,-10,2288
32,-10,2337
33,-10,2351
34,-10,2366
35,-10,2379
36,100,2382
37,-10,2410
38,-10,2438
39,-10,2469
40,-10,2532
41,-10,2546
42,-10,2567
43,-10,2587
44,-10,2599
45,-10,2620
46,-10,2641
47,-10,2653
48,-10,2665
49,-10,2693
50,-10,2705
51,-10,2738
52,100,2739
53,-10,2803
54,-10,2887
55,-10,2913
56,100,2947
57,100,2953
58,-10,2978
59,-10,3111
60,-10,3176
61,-10,3235
62,100,3272
63,100,3290
64,100,3295
65,-10,3321
66,-10,3374
67,-10,3417
68,-10,3453
69,100,3463
70,100,3609
71,-10,3762
72,-10,3846
73,-10,3973
74,-10,4240
75,-10,4740
76,-10,4965
77,100,5076
78,100,5245
79,100,5332
80,-10,5511
81,-10,5648
82,100,5781
83,100,5802
84,100,5817
85,100,5851
86,100,5871
87,100,5951
88,100,5969
89,100,6018
90,100,6055
91,100,6245
92,100,6308
93,-10,6354
94,100,6386
95,100,6412
96,100,6453
97,100,6472
98,100,6489
99,100,6496
100,-10,6515
101,-10,6529
102,100,6557
103,100,6577
104,100,6606
105,100,6628
106,100,6629
107,100,6659
108,100,6682
109,100,6703
110,-10,6719
111,-10,6746
112,100,6762
113,100,6785
114,100,6805
115,100,6840
116,-10,6868
117,100,6883
118,-10,6899
119,100,6922
120,100,6974
121,-10,7006
122,100,7042
123,100,7058
124,100,7059
125,100,7088
126,100,7105
127,-10,7122
128,-10,7139
129,100,7156
130,100,7162
131,100,7187
132,100,7220
133,100,7259
134,100,7266
135,100,7286
136,100,7314
137,-10,7339
138,-10,7362
139,100,7389
140,100,7413
141,-10,7435
142,100,7454
143,-10,7468
144,100,7491
145,-10,7515
146,100,7532
147,100,7549
148,100,7562
149,100,7593
150,-10,7611
151,100,7630
152,100,7658
153,-10,7673
154,100,7692
155,100,7724
156,100,7745
157,100,7751
158,100,7769
159,100,7798
160,100,7822
161,-10,7835
162,100,7868
163,100,7885
164,-10,7899
165,-10,7916
166,100,7921
167,-10,7949
168,100,7974
169,100,7990
170,100,7993
171,100,8011
172,100,8034
173,-10,8058
174,100,8072
175,100,8089
176,-10,8105
177,100,8130
178,100,8149
179,100,8169
180,100,8188
181,100,8205
182,100,8206
183,100,8231
184,-10,8245
185,100,8261
186,-10,8285
187,100,8302
188,100,8318
189,100,8340
190,100,8357
191,100,8385
192,100,8401
193,100,8429
194,100,8447
195,-10,8461
196,100,8462
197,100,8495
