episode,scores,steps
0,-10,201
1,-10,264
2,-10,333
3,-10,365
4,-10,421
5,-10,458
6,-10,499
7,100,500
8,-10,537
9,-10,600
10,-10,661
11,-10,732
12,-10,784
13,-10,839
14,100,875
15,-10,923
16,-10,979
17,100,980
18,-10,1034
19,-10,1091
20,-10,1153
21,-10,1221
22,-10,1289
23,-10,1349
24,-10,1399
25,-10,1449
26,-10,1499
27,-10,1534
28,-10,1589
29,-10,1655
30,-10,1718
31,-10,1750
32,-10,1812
33,-10,1875
34,-10,1952
35,-10,2012
36,-10,2055
37,-10,2126
38,100,2130
39,-10,2188
40,-10,2251
41,-10,2288
42,-10,2318
43,-10,2405
44,-10,2445
45,-10,2521
46,-10,2550
47,-10,2615
48,-10,2692
49,-10,2723
50,-10,2789
51,-10,2850
52,-10,2912
53,-10,2978
54,-10,3010
55,-10,3083
56,-10,3156
57,-10,3227
58,100,3228
59,-10,3297
60,-10,3374
61,-10,3438
62,-10,3500
63,-10,3587
64,-10,3650
65,-10,3752
66,-10,3813
67,-10,3855
68,-10,3920
69,-10,3956
70,-10,3984
71,-10,4049
72,-10,4084
73,-10,4153
74,-10,4227
75,-10,4299
76,-10,4397
77,-10,4477
78,100,4478
79,-10,4555
80,-10,4627
81,100,4700
82,-10,4780
83,-10,4858
84,-10,4933
85,100,4938
86,-10,4971
87,-10,5050
88,-10,5128
89,100,5129
90,-10,5207
91,-10,5285
92,-10,5373
93,-10,5474
94,-10,5562
95,-10,5631
96,100,5702
97,-10,5778
98,-10,5870
99,-10,5922
100,-10,6007
101,-10,6049
102,-10,6126
103,-10,6204
104,-10,6270
105,-10,6342
106,100,6382
107,-10,6456
108,100,6506
109,-10,6584
110,-10,6627
111,-10,6710
112,-10,6794
113,-10,6897
114,-10,6966
115,-10,7042
116,-10,7136
117,-10,7228
118,-10,7305
119,100,7306
120,100,7307
121,-10,7371
122,-10,7452
123,-10,7533
124,-10,7607
125,-10,7681
126,-10,7760
127,-10,7851
128,-10,7930
129,-10,8017
130,-10,8094
131,-10,8146
132,100,8197
133,-10,8232
134,-10,8329
135,-10,8407
136,-10,8507
137,-10,8586
138,100,8616
139,100,8650
140,-10,8713
141,-10,8801
142,-10,8875
143,-10,8907
144,-10,8981
145,-10,9045
146,-10,9119
147,-10,9194
148,-10,9287
149,-10,9362
150,100,9366
151,-10,9439
152,-10,9519
153,-10,9605
154,-10,9645
155,-10,9727
156,-10,9760
157,-10,9841
158,-10,9921
159,-10,9959
160,100,10048
161,-10,10095
162,100,10133
163,-10,10177
164,100,10252
165,-10,10321
166,-10,10423
167,100,10434
168,-10,10507
169,-10,10546
170,-10,10660
171,-10,10746
172,-10,10847
173,-10,10903
174,-10,10984
175,-10,11055
176,-10,11133
177,-10,11230
178,-10,11296
179,-10,11386
180,-10,11443
181,-10,11485
182,-10,11583
183,-10,11664
184,-10,11736
185,100,11786
186,-10,11866
187,-10,11940
188,-10,11977
189,-10,12076
190,-10,12176
191,-10,12298
192,-10,12388
193,-10,12500
194,100,12554
195,-10,12625
196,100,12626
197,-10,12699
198,100,12700
199,-10,12808
200,-10,12855
201,-10,12973
202,-10,13097
203,100,13236
204,-10,13437
205,100,13685
206,-10,13726
207,-10,13883
208,100,13884
209,-10,13958
210,-10,14057
211,-10,14085
212,-10,14160
213,-10,14271
214,100,14363
215,-10,14471
216,-10,14562
217,100,14677
218,-10,14756
219,100,14885
220,-10,14923
221,100,15038
222,-10,15114
223,100,15189
224,100,15191
225,100,15398
226,-10,15503
227,-10,15575
228,-10,15612
229,-10,15701
230,-10,15742
231,-10,15781
232,-10,15867
233,-10,15893
234,100,15965
235,100,16091
236,-10,16150
237,-10,16277
238,-10,16327
239,-10,16361
240,-10,16465
241,-10,16541
242,100,16617
243,-10,16729
244,100,16856
245,-10,16898
246,100,17013
247,100,17014
248,-10,17086
249,-10,17157
250,-10,17199
