episode,scores,steps
0,-10,500
1,-10,783
2,-10,836
3,-10,894
4,-10,955
5,-10,1021
6,-10,1078
7,100,1084
8,-10,1136
9,-10,1197
10,-10,1247
11,-10,1305
12,-10,1367
13,-10,1428
14,100,1453
15,100,1488
16,-10,1573
17,-10,1647
18,-10,1703
19,100,1744
20,-10,1791
21,-10,1852
22,-10,1941
23,-10,2009
24,-10,2206
25,-10,2314
26,-10,2380
27,-10,2440
28,-10,2506
29,-10,2557
30,-10,2643
31,-10,2713
32,100,2752
33,-10,2808
34,-10,2875
35,-10,2933
36,-10,2991
37,100,3003
38,-10,3074
39,-10,3131
40,-10,3183
41,-10,3251
42,-10,3331
43,-10,3410
44,-10,3492
45,-10,3555
46,100,3576
47,-10,3646
48,100,3686
49,100,3781
50,-10,3842
51,100,3851
52,-10,3906
53,-10,3962
54,-10,4020
55,-10,4160
56,-10,4220
57,100,4275
58,-10,4331
59,-10,4396
60,100,4414
61,100,4433
62,-10,4497
63,-10,4597
64,100,4637
65,-10,4711
66,-10,4781
67,-10,4840
68,-10,4924
69,-10,4986
70,100,4987
71,-10,5047
72,-10,5126
73,-10,5186
74,-10,5270
75,-10,5322
76,100,5323
77,-10,5395
78,-10,5482
79,-10,5563
80,-10,5635
81,-10,5697
82,-10,5761
83,-10,5816
84,-10,5871
85,100,5908
86,-10,5972
87,-10,6029
88,-10,6096
89,100,6097
90,-10,6158
91,-10,6215
92,-10,6284
93,-10,6348
94,-10,6406
95,-10,6472
96,-10,6525
97,-10,6587
98,-10,6651
99,-10,6714
100,-10,6782
101,-10,6838
102,-10,6894
103,-10,6953
104,-10,7005
105,-10,7069
106,100,7070
107,100,7139
108,-10,7218
109,-10,7282
110,100,7320
111,-10,7377
112,-10,7435
113,-10,7508
114,-10,7562
115,-10,7632
116,-10,7717
117,-10,7785
118,-10,7848
119,-10,7912
120,-10,7986
121,-10,8077
122,-10,8151
123,-10,8210
124,-10,8295
125,-10,8355
126,-10,8422
127,-10,8481
128,-10,8561
129,-10,8618
130,-10,8682
131,-10,8769
132,-10,8837
133,-10,8943
134,-10,9000
135,-10,9055
136,-10,9119
137,-10,9184
138,-10,9242
139,-10,9295
140,100,9326
141,-10,9389
142,-10,9450
143,-10,9529
144,-10,9597
145,-10,9678
146,-10,9744
147,100,9759
148,-10,9819
149,-10,9876
150,-10,9968
151,100,9993
152,-10,10049
153,-10,10127
154,-10,10215
155,-10,10268
156,-10,10330
157,-10,10385
158,-10,10457
159,-10,10510
160,-10,10579
161,100,10635
162,-10,10701
